state,total,place,race,religion,sexual_orientation,ethnicity,disability
ALABAMA,Total,,6,2,2,1,0
,Cities,,3,2,2,1,0
,,Enterprise,1,0,0,0,0
,,Hoover,2,2,1,1,0
,,Tuscaloosa,0,0,1,0,0
,Metropolitan Counties,,3,0,0,0,0
,,Lee,2,0,0,0,0
,,Lowndes,1,0,0,0,0
ALASKA,Total,,5,2,1,0,0
,Cities,,5,2,1,0,0
,,Anchorage,4,1,1,0,0
,,Bethel,1,1,0,0,0
ARIZONA,Total,,80,34,25,46,0
,Cities,,69,30,21,42,0
,,Apache Junction,4,0,0,0,0
,,Avondale,1,0,0,1,0
,,Bullhead City,0,0,0,1,0
,,Camp Verde,1,0,0,0,0
,,Flagstaff,2,1,1,0,0
,,Gilbert,3,0,1,1,0
,,Glendale,4,0,0,4,0
,,Kingman,3,0,0,2,0
,,Mesa,4,3,1,5,0
,,Oro Valley,0,1,0,0,0
,,Phoenix,35,21,10,23,0
,,Prescott Valley,2,0,0,1,0
,,Scottsdale,1,0,1,0,0
,,Sierra Vista,0,0,0,1,0
,,Surprise,0,0,1,0,0
,,Tempe,3,0,2,1,0
,,Tucson,4,4,4,1,0
,,Yuma,2,0,0,1,0
,Universities and Colleges,,6,2,4,1,0
,,Northern Arizona University,3,0,2,0,0
,,Pima Community College,0,2,0,0,0
,,University of Arizona,3,0,2,1,0
,Metropolitan Counties,,5,2,0,2,0
,,Maricopa,3,0,0,1,0
,,Pima,2,1,0,0,0
,,Pinal,0,0,0,1,0
,,Yavapai,0,1,0,0,0
,Nonmetropolitan Counties,,0,0,0,1,0
,,Navajo,0,0,0,1,0
ARKANSAS,Total,,65,3,18,5,0
,Cities,,44,2,10,2,0
,,Bella Vista,1,0,0,0,0
,,Benton,2,1,3,0,0
,,Berryville,1,0,0,0,0
,,Blytheville,1,0,0,0,0
,,Bryant,1,0,0,0,0
,,Cabot,2,0,0,0,0
,,Clarksville,0,0,1,0,0
,,Clinton,1,0,0,0,0
,,Conway,0,0,1,0,0
,,Danville,0,0,0,1,0
,,Fort Smith,1,0,1,0,0
,,Helena-West Helena,16,0,0,0,0
,,Hot Springs,1,0,0,0,0
,,Jonesboro,5,1,1,0,0
,,Judsonia,1,0,0,0,0
,,Magnolia,1,0,0,0,0
,,Mena,1,0,0,1,0
,,Newport,1,0,0,0,0
,,North Little Rock,0,0,2,0,0
,,Paragould,2,0,1,0,0
,,Pea Ridge,1,0,0,0,0
,,Sherwood,2,0,0,0,0
,,Siloam Springs,1,0,0,0,0
,,Stuttgart,1,0,0,0,0
,,West Memphis,1,0,0,0,0
,Universities and Colleges,,5,0,0,0,0
,,"University of Arkansas, Medical Sciences",4,0,0,0,0
,,University of Central Arkansas,1,0,0,0,0
,Metropolitan Counties,,10,1,8,3,0
,,Craighead,0,0,6,0,0
,,Garland,4,0,0,1,0
,,Pulaski,5,1,1,1,0
,,Sebastian,1,0,0,0,0
,,Washington,0,0,1,1,0
,Nonmetropolitan Counties,,6,0,0,0,0
,,Conway,1,0,0,0,0
,,Independence,1,0,0,0,0
,,Johnson,3,0,0,0,0
,,Sevier,1,0,0,0,0
CALIFORNIA,Total,,584,294,283,216,4
,Cities,,481,256,251,184,4
,,Agoura Hills,0,1,0,0,0
,,Alameda,0,0,1,0,0
,,Albany,1,2,0,0,0
,,Alhambra,4,0,0,0,0
,,Anaheim,1,1,0,1,0
,,Anderson,1,0,0,0,0
,,Antioch,1,0,0,0,0
,,Arcadia,1,0,0,0,0
,,Arvin,0,0,0,1,0
,,Auburn,1,0,0,0,0
,,Azusa,1,0,1,0,0
,,Bakersfield,1,0,1,0,0
,,Bellflower,2,0,0,2,0
,,Belmont,1,0,0,0,0
,,Beverly Hills,3,0,1,1,0
,,Blythe,0,0,1,0,0
,,Brea,0,0,1,0,0
,,Brentwood,0,1,0,0,0
,,Buena Park,1,0,0,0,0
,,Burbank,2,5,0,1,1
,,Calexico,1,0,0,0,0
,,Camarillo,1,10,1,1,0
,,Campbell,2,0,0,0,0
,,Carlsbad,0,0,1,0,0
,,Carson,1,0,0,0,0
,,Chico,2,0,1,0,0
,,Chino,1,1,2,0,0
,,Chula Vista,3,6,2,2,0
,,City of Angels,1,1,0,0,0
,,Cloverdale,0,1,1,1,0
,,Clovis,1,0,0,0,0
,,Compton,3,0,0,0,0
,,Corona,3,1,1,1,0
,,Costa Mesa,0,0,2,0,0
,,Covina,3,1,0,1,0
,,Crescent City,0,1,0,0,0
,,Cupertino,1,0,0,0,0
,,Cypress,2,0,0,0,0
,,Daly City,0,0,1,0,0
,,Davis,1,1,2,1,1
,,Dinuba,0,0,1,0,0
,,Dublin,0,0,1,1,0
,,East Palo Alto,1,0,0,2,0
,,El Cajon,1,0,0,0,0
,,El Cerrito,1,0,0,0,0
,,Elk Grove,1,1,0,2,0
,,El Monte,9,1,0,1,0
,,El Segundo,1,1,0,0,0
,,Emeryville,0,0,1,0,0
,,Encinitas,0,0,0,1,0
,,Escondido,3,0,1,1,0
,,Eureka,0,0,2,1,0
,,Fairfield,1,0,0,0,0
,,Fontana,1,0,0,0,0
,,Fountain Valley,0,1,0,0,0
,,Fremont,3,0,0,0,0
,,Fresno,3,0,3,0,0
,,Fullerton,1,0,0,0,0
,,Galt,1,0,0,0,0
,,Gardena,1,0,0,0,0
,,Garden Grove,3,0,0,1,0
,,Glendale,0,0,0,1,0
,,Glendora,3,0,0,0,0
,,Greenfield,0,0,1,0,0
,,Guadalupe,1,0,0,0,0
,,Hawaiian Gardens,2,0,0,0,0
,,Hawthorne,1,1,0,0,0
,,Hemet,0,0,0,5,0
,,Hesperia,0,0,0,2,0
,,Hillsborough,0,0,1,0,0
,,Hollister,0,0,1,0,0
,,Huntington Beach,3,0,3,3,0
,,Huntington Park,0,0,0,1,0
,,Imperial Beach,1,0,0,0,0
,,Indio,0,0,2,0,0
,,Inglewood,1,0,1,0,0
,,Ione,0,1,0,0,0
,,Irvine,3,1,0,5,0
,,La Canada Flintridge,0,1,0,0,0
,,Laguna Beach,0,0,1,0,0
,,Laguna Hills,1,0,0,0,0
,,La Habra,1,1,0,1,0
,,Lake Elsinore,1,0,0,0,0
,,Lakewood,2,0,0,3,0
,,La Mirada,1,0,0,0,0
,,Lancaster,12,0,1,1,0
,,La Quinta,1,1,0,1,0
,,La Verne,2,0,0,0,0
,,Lemoore,0,0,0,1,0
,,Livermore,0,0,1,0,0
,,Lodi,3,0,0,0,0
,,Lomita,1,0,0,0,0
,,Long Beach,9,3,8,3,0
,,Los Alamitos,0,1,0,0,0
,,Los Angeles,112,83,43,42,0
,,Los Gatos,0,0,1,0,0
,,Lynwood,0,0,0,2,0
,,Malibu,1,0,2,0,0
,,Manhattan Beach,1,2,1,3,0
,,Manteca,1,1,0,1,0
,,Marina,1,0,0,0,0
,,Marysville,0,1,0,0,0
,,Maywood,1,0,0,0,0
,,Millbrae,0,2,0,0,0
,,Mill Valley,0,1,0,0,0
,,Milpitas,1,0,0,0,0
,,Mission Viejo,1,0,0,2,0
,,Modesto,4,1,2,1,0
,,Montclair,0,0,0,1,0
,,Monterey,0,1,0,0,0
,,Moorpark,0,1,1,1,0
,,Moreno Valley,1,2,1,2,0
,,Morro Bay,1,0,0,0,0
,,Mountain View,0,1,0,1,0
,,Murrieta,1,0,1,0,0
,,Napa,1,0,0,1,0
,,National City,1,0,0,0,0
,,Newark,2,0,1,0,0
,,Newman,1,0,0,0,0
,,Newport Beach,2,2,1,2,0
,,Norwalk,1,1,1,0,0
,,Novato,1,1,0,0,0
,,Oakland,14,1,12,2,0
,,Oakley,0,0,1,0,0
,,Oceanside,13,3,1,4,0
,,Ontario,5,1,0,0,0
,,Orange,0,0,1,2,0
,,Oxnard,1,0,2,0,0
,,Pacifica,0,1,0,1,0
,,Pacific Grove,0,1,0,0,0
,,Palmdale,7,1,4,2,0
,,Palm Springs,1,1,6,0,0
,,Palo Alto,0,5,0,0,0
,,Paradise,0,0,1,0,0
,,Paramount,4,0,0,0,0
,,Pasadena,8,3,2,7,0
,,Petaluma,1,2,1,1,0
,,Piedmont,1,0,0,0,0
,,Placerville,1,0,0,0,0
,,Pomona,6,2,0,0,0
,,Poway,0,2,0,0,0
,,Rancho Mirage,0,0,0,1,0
,,Rancho Palos Verdes,0,1,0,0,0
,,Red Bluff,0,0,0,1,0
,,Redding,8,1,3,1,0
,,Redlands,2,2,1,1,0
,,Redondo Beach,1,0,2,2,0
,,Redwood City,3,0,2,0,0
,,Rialto,0,0,0,1,0
,,Richmond,0,0,1,0,0
,,Rio Vista,1,0,0,0,0
,,Riverside,12,6,2,1,0
,,Rohnert Park,1,0,0,1,0
,,Rolling Hills Estates,1,0,0,0,0
,,Rosemead,1,0,0,0,0
,,Sacramento,3,3,7,0,0
,,Salinas,0,0,1,1,0
,,San Bernardino,4,1,4,0,0
,,San Bruno,0,0,1,0,0
,,San Clemente,0,0,0,1,0
,,San Diego,22,7,17,12,0
,,San Dimas,1,0,0,0,0
,,San Fernando,0,3,0,0,0
,,San Francisco,16,15,28,8,1
,,San Gabriel,0,0,1,0,0
,,San Jose,19,7,15,2,0
,,San Leandro,1,1,0,0,0
,,San Luis Obispo,4,3,0,1,0
,,San Marcos,1,0,1,1,0
,,San Marino,1,0,0,0,0
,,San Mateo,4,3,0,1,0
,,San Rafael,0,1,0,1,0
,,San Ramon,1,0,0,1,0
,,Santa Ana,0,0,1,0,0
,,Santa Barbara,1,2,1,1,0
,,Santa Clara,0,0,1,0,0
,,Santa Clarita,1,0,1,1,0
,,Santa Cruz,2,8,4,0,0
,,Santa Fe Springs,1,0,1,0,0
,,Santa Maria,2,0,0,1,0
,,Santa Rosa,0,0,0,1,0
,,Santee,3,0,0,0,0
,,Saratoga,0,0,0,1,0
,,Scotts Valley,1,0,0,1,0
,,Soledad,0,0,1,1,0
,,Sonora,1,1,0,0,0
,,South Gate,1,0,0,0,0
,,South Pasadena,0,1,0,0,0
,,South San Francisco,0,0,1,0,0
,,Stanton,0,0,0,1,0
,,Stockton,4,2,0,1,0
,,Susanville,0,0,0,1,0
,,Temecula,0,2,0,0,0
,,Temple City,1,1,0,1,0
,,Thousand Oaks,0,2,0,0,0
,,Tiburon,1,0,0,0,0
,,Torrance,5,1,1,0,0
,,Truckee,0,0,0,0,1
,,Tulare,1,0,1,0,0
,,Turlock,0,0,2,0,0
