state,total,place,race,religion,sexual_orientation,ethnicity,disability
Alabama,Total,,58,5,7,11,2
,Cities,,47,3,7,10,2
,,Abbeville,2,0,0,0,0
,,Adamsville,2,0,0,0,0
,,Alabaster,0,0,0,1,0
,,Centre,1,0,0,0,0
,,Clanton,2,0,0,0,0
,,Decatur,1,0,0,2,0
,,Douglas,0,0,0,1,0
,,Elba,1,0,0,0,0
,,Enterprise,2,0,0,0,0
,,Foley,2,0,0,0,0
,,Fort Payne,1,0,1,0,0
,,Fultondale,1,0,0,0,0
,,Fyffe,0,2,0,0,0
,,Greenville,1,0,0,0,0
,,Guntersville,0,1,0,1,0
,,Haleyville,1,0,0,0,0
,,Heflin,1,0,0,0,0
,,Hoover,1,0,0,1,0
,,Hueytown,1,0,0,0,0
,,Irondale,2,0,0,0,0
,,Jackson,1,0,0,0,0
,,Jacksonville,1,0,0,0,0
,,Jasper,2,0,0,0,0
,,Lincoln,2,0,0,0,0
,,Montgomery,0,0,0,1,0
,,Mount Vernon,1,0,0,0,0
,,Orange Beach,1,0,2,0,0
,,Oxford,1,0,3,1,0
,,Ozark,1,0,0,0,0
,,Parrish,0,0,1,0,0
,,Pelham,1,0,0,0,0
,,Phenix City,1,0,0,0,0
,,Piedmont,1,0,0,0,0
,,Prattville,1,0,0,0,0
,,Roanoke,3,0,0,0,1
,,Saraland,2,0,0,0,0
,,Sheffield,1,0,0,0,0
,,Sylacauga,2,0,0,0,0
,,Town Creek,0,0,0,0,1
,,Tuscaloosa,1,0,0,2,0
,,Tuscumbia,1,0,0,0,0
,,Weaver,1,0,0,0,0
,Metropolitan Counties,,7,1,0,1,0
,,Blount,2,0,0,0,0
,,Chilton,1,1,0,1,0
,,Madison,1,0,0,0,0
,,Tuscaloosa,3,0,0,0,0
,Nonmetropolitan Counties,,4,1,0,0,0
,,Coosa,0,1,0,0,0
,,Cullman,1,0,0,0,0
,,Marengo,1,0,0,0,0
,,Washington,2,0,0,0,0
Alaska,Total,,5,2,1,0,0
,Cities,,5,2,1,0,0
,,Anchorage,5,2,1,0,0
Arizona,Total,,80,35,35,41,1
,Cities,,72,29,32,36,1
,,Apache Junction,0,0,0,2,0
,,Avondale,1,0,0,1,0
,,Buckeye,1,3,0,0,0
,,Camp Verde,0,1,0,0,0
,,Chandler,0,0,0,1,0
,,Coolidge,1,0,0,0,0
,,Gilbert,1,1,0,0,0
,,Glendale,4,2,2,1,0
,,Maricopa,0,0,1,1,0
,,Mesa,4,3,1,0,0
,,Phoenix,50,16,28,28,1
,,Prescott Valley,0,0,0,1,0
,,Scottsdale,3,2,0,0,0
,,Somerton,1,0,0,0,0
,,Surprise,1,0,0,0,0
,,Tempe,2,1,0,0,0
,,Wickenburg,1,0,0,0,0
