state,total,place,race,religion,sexual_orientation,ethnicity,disability,,,,,
Alabama,Total,,3,2,0,1,0,,,,, 
,Cities,,3,2,0,1,0,,,,,
,,Hoover,3,2,0,1,0,,,,,
Alaska,Total,,5,1,0,0,0,,,,,
,Cities,,5,1,0,0,0,,,,,
,,Anchorage,5,1,0,0,0,,,,,
Arizona,Total,,75,25,43,32,1,,,,,
,Cities,,71,23,42,30,1,,,,,
,,Apache Junction,1,0,0,0,0,,,,,
,,Coolidge,1,0,0,0,0,,,,,
,,Flagstaff,1,2,2,0,0,,,,,
,,Gilbert,2,0,0,0,0,,,,,
,,Glendale,2,2,2,2,0,,,,,
,,Maricopa,1,0,1,1,0,,,,,
,,Mesa,0,2,0,0,0,,,,,
,,Paradise Valley,0,1,0,0,0,,,,,
,,Phoenix,59,8,32,22,0,,,,,
,,Prescott Valley,0,0,1,0,0,,,,,
,,Scottsdale,1,2,0,0,0,,,,,
,,Show Low,0,0,0,1,0,,,,,
,,Tempe,1,2,2,0,0,,,,,
,,Tucson,2,4,2,2,0,,,,,
,,Willcox,0,0,0,0,1,,,,,
,,Yuma,0,0,0,2,0,,,,,
,Universities and Colleges,,1,1,1,1,0,,,,,
,,"Arizona State University, Main Campus",0,0,1,1,0,,,,,
,,University of Arizona,1,1,0,0,0,,,,,
,Metropolitan Counties,,2,1,0,1,0,,,,,
,,Maricopa,2,0,0,0,0,,,,,
,,Mohave,0,1,0,0,0,,,,,
,,Pima,0,0,0,1,0,,,,,
,Other Agencies,,1,0,0,0,0,,,,,
,,Tucson Airport Authority,1,0,0,0,0,,,,,
Arkansas,Total,,11,3,13,2,1,,,,,
,Cities,,9,3,12,1,1,,,,,
,,Benton,0,0,1,0,0,,,,,
,,Bentonville,0,2,0,0,0,,,,,
,,Bryant,1,0,0,0,0,,,,,
,,Fort Smith,0,0,1,0,0,,,,,
,,Jonesboro,1,0,0,0,0,,,,,
,,McGehee,1,0,0,0,0,,,,,
,,Newport,1,0,0,0,0,,,,,
,,Ola,1,0,0,0,0,,,,,
,,Paragould,1,0,0,0,0,,,,,
,,Pine Bluff,0,1,1,0,0,,,,,
,,Rogers,0,0,1,0,0,,,,,
,,Sherwood,2,0,7,0,0,,,,,
,,Springdale,1,0,1,1,1,,,,,
,Universities and Colleges,,1,0,1,0,0,,,,,
,,University of Arkansas:,,,,,,,,,,
,,Fayetteville,1,0,0,0,0,,,,,
,,Little Rock,0,0,1,0,0,,,,,
,Metropolitan Counties,,1,0,0,0,0,,,,,
,,Pulaski,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,0,0,0,1,0,,,,,
,,Independence,0,0,0,1,0,,,,,
California,Total, ,379,144,234,151,2,,,,,
,Cities,,296,123,203,114,1,,,,,
,,Adelanto,1,0,0,0,0,,,,,
,,Agoura Hills,1,2,1,0,0,,,,,
,,Aliso Viejo,0,1,0,0,0,,,,,
,,Anaheim,0,0,1,0,0,,,,,
,,Antioch,2,0,2,0,0,,,,,
,,Apple Valley,0,0,0,2,0,,,,,
