state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity,,,,,
Alabama,Total,,8,0,2,0,0,0,,,,,
,Cities,,8,0,2,0,0,0,,,,,
,,Birmingham,3,0,2,0,0,0,,,,,
,,Hoover,4,0,0,0,0,0,,,,,
,,Prattville,1,0,0,0,0,0,,,,,
Alaska,Total,,7,0,1,0,0,0,,,,,
,Cities,,7,0,1,0,0,0,,,,,
,,Anchorage,4,0,1,0,0,0,,,,,
,,Kotzebue,1,0,0,0,0,0,,,,,
,,North Pole,1,0,0,0,0,0,,,,,
,,Soldotna,1,0,0,0,0,0,,,,,
Arizona,Total,,162,52,57,5,0,0,,,,,
,Cities,,157,49,57,5,0,0,,,,,
,,Apache Junction,2,0,0,0,0,0,,,,,
,,Avondale,1,1,0,0,0,0,,,,,
,,Chandler,1,0,0,0,0,0,,,,,
,,El Mirage,0,1,0,0,0,0,,,,,
,,Gilbert,3,1,0,0,0,0,,,,,
,,Glendale,5,2,1,0,0,0,,,,,
,,Holbrook,0,0,1,0,0,0,,,,,
,,Mesa,2,2,0,0,0,0,,,,,
,,Nogales,0,1,0,0,0,0,,,,,
,,Phoenix,137,40,49,5,0,0,,,,,
,,Prescott,1,0,0,0,0,0,,,,,
,,Scottsdale,1,1,1,0,0,0,,,,,
,,Tucson,1,0,3,0,0,0,,,,,
,,Williams,0,0,1,0,0,0,,,,,
,,Yuma,3,0,1,0,0,0,,,,,
,Universities and Colleges,,2,0,0,0,0,0,,,,,
,,"Arizona State University, Main Campus",2,0,0,0,0,0,,,,,
,Metropolitan Counties,,3,2,0,0,0,0,,,,,
,,Maricopa,1,0,0,0,0,0,,,,,
,,Pima,1,1,0,0,0,0,,,,,
,,Pinal,1,0,0,0,0,0,,,,,
,,Yavapai,0,1,0,0,0,0,,,,,
,Nonmetropolitan Counties,,0,1,0,0,0,0,,,,,
,,Graham,0,1,0,0,0,0,,,,,
Arkansas,Total,,3,0,2,0,0,0,,,,,
,Cities,,1,0,2,0,0,0,,,,,
,,Bryant,1,0,0,0,0,0,,,,,
,,Fort Smith,0,0,2,0,0,0,,,,,
,Metropolitan Counties,,1,0,0,0,0,0,,,,,
,,Sebastian,1,0,0,0,0,0,,,,,
,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
,,Boone,1,0,0,0,0,0,,,,,
California,Total,,427,191,188,4,1,26,,,,,
,Cities,,349,158,155,1,0,24,,,,,
,,Alameda,1,1,0,0,0,0,,,,,
,,Alhambra,0,1,0,0,0,0,,,,,
,,Antioch,5,2,1,0,0,0,,,,,
,,Azusa,2,1,0,0,0,0,,,,,
,,Bakersfield,1,0,3,0,0,0,,,,,
,,Banning,1,1,0,0,0,0,,,,,
,,Bellflower,1,1,0,0,0,0,,,,,
,,Bell Gardens,2,0,0,0,0,0,,,,,
,,Berkeley,2,1,1,0,0,0,,,,,
,,Beverly Hills,0,2,0,0,0,0,,,,,
,,Brisbane,1,0,1,0,0,0,,,,,
,,Buena Park,0,1,0,0,0,0,,,,,
,,Burbank,1,0,0,0,0,0,,,,,
,,Calabasas,1,0,0,0,0,0,,,,,
,,Camarillo,1,0,0,0,0,0,,,,,
,,Carmel,0,1,0,0,0,0,,,,,
,,Carson,3,0,0,0,0,0,,,,,
,,Chino Hills,0,1,0,0,0,0,,,,,
,,Chula Vista,1,0,2,0,0,0,,,,,
,,Citrus Heights,1,1,0,0,0,0,,,,,
,,Claremont,1,2,1,0,0,0,,,,,
,,Clearlake,5,2,0,0,0,0,,,,,
,,Clovis,1,1,0,0,0,0,,,,,
,,Coachella,0,1,0,0,0,0,,,,,
,,Colton,0,1,0,0,0,0,,,,,
,,Commerce,0,0,1,0,0,0,,,,,
,,Compton,1,0,1,0,0,0,,,,,
,,Concord,3,1,1,0,0,0,,,,,
,,Covina,1,0,0,0,0,0,,,,,
,,Cypress,1,1,0,0,0,0,,,,,
,,Daly City,1,0,1,0,0,0,,,,,
,,Davis,2,2,2,0,0,0,,,,,
,,Diamond Bar,2,0,0,0,0,0,,,,,
,,East Palo Alto,0,1,1,0,0,0,,,,,
,,El Cajon,0,0,1,0,0,0,,,,,
,,El Cerrito,2,0,0,0,0,0,,,,,
,,Elk Grove,2,0,0,0,0,0,,,,,
,,El Monte,2,0,1,0,0,0,,,,,
,,El Segundo,1,0,0,0,0,0,,,,,
,,Escondido,6,0,0,0,0,0,,,,,
,,Eureka,2,0,0,0,0,0,,,,,
,,Fairfield,0,0,1,0,0,0,,,,,
,,Firebaugh,1,0,0,0,0,0,,,,,
,,Folsom,2,0,0,0,0,0,,,,,
,,Fort Bragg,0,1,0,0,0,0,,,,,
,,Foster City,0,0,1,0,0,0,,,,,
,,Fremont,2,1,0,0,0,0,,,,,
,,Fresno,7,0,1,0,0,2,,,,,
,,Fullerton,1,0,0,0,0,1,,,,,
,,Galt,2,0,0,0,0,0,,,,,
,,Garden Grove,1,1,0,0,0,0,,,,,
,,Glendale,1,0,0,0,0,1,,,,,
,,Glendora,1,0,0,0,0,0,,,,,
,,Goleta,1,0,0,0,0,0,,,,,
,,Greenfield,0,0,1,0,0,0,,,,,
,,Gridley,1,0,0,0,0,0,,,,,
,,Hanford,1,2,0,0,0,0,,,,,
,,Hawaiian Gardens,2,0,0,0,0,0,,,,,
,,Hawthorne,3,0,1,0,0,0,,,,,
,,Hayward,3,1,0,0,0,0,,,,,
,,Hemet,2,0,0,0,0,0,,,,,
,,Hermosa Beach,1,0,0,0,0,0,,,,,
,,Hesperia,0,0,2,0,0,0,,,,,
,,Hollister,0,0,1,0,0,0,,,,,
,,Huntington Beach,0,2,1,0,0,1,,,,,
,,Huntington Park,3,0,1,0,0,0,,,,,
,,Imperial,1,0,0,0,0,0,,,,,
,,Imperial Beach,1,0,0,0,0,0,,,,,
,,Indio,1,0,0,0,0,0,,,,,
,,Industry,1,0,0,0,0,0,,,,,
,,Irvine,1,1,1,0,0,0,,,,,
,,Jurupa Valley,1,0,0,0,0,0,,,,,
,,Kerman,0,0,1,0,0,0,,,,,
,,Laguna Beach,1,0,1,0,0,0,,,,,
,,Lake Elsinore,0,0,1,0,0,0,,,,,
,,Lake Forest,4,0,0,0,0,0,,,,,
,,Lakewood,2,0,0,0,0,0,,,,,
,,La Mirada,1,1,0,0,0,0,,,,,
,,Lancaster,3,2,2,0,0,0,,,,,
,,Lawndale,0,0,1,0,0,0,,,,,
,,Lemoore,1,0,0,0,0,0,,,,,
,,Livermore,0,4,1,0,0,0,,,,,
,,Lodi,1,1,0,0,0,0,,,,,
,,Lomita,1,0,0,0,0,0,,,,,
,,Long Beach,6,0,6,0,0,0,,,,,
,,Los Alamitos,1,0,0,0,0,0,,,,,
,,Los Angeles,92,50,45,0,0,5,,,,,
,,Los Gatos,1,0,0,0,0,0,,,,,
,,Malibu,0,1,0,0,0,0,,,,,
,,Manhattan Beach,1,0,0,0,0,0,,,,,
,,Manteca,0,2,0,0,0,0,,,,,
,,Marina,0,0,1,0,0,0,,,,,
,,Marysville,1,0,0,0,0,0,,,,,
,,Menifee,1,0,0,0,0,0,,,,,
,,Merced,1,0,0,0,0,0,,,,,
,,Mission Viejo,1,0,0,0,0,0,,,,,
,,Modesto,4,0,0,0,0,0,,,,,
,,Montebello,0,1,0,0,0,0,,,,,
,,Monterey Park,2,1,1,0,0,0,,,,,
,,Moorpark,0,1,0,0,0,0,,,,,
,,Moreno Valley,0,0,1,0,0,0,,,,,
,,Napa,1,0,0,0,0,0,,,,,
,,National City,1,0,0,0,0,0,,,,,
,,Newark,0,1,0,0,0,0,,,,,
,,Newport Beach,1,1,0,0,0,0,,,,,
,,Norwalk,3,0,0,0,0,0,,,,,
,,Oakland,6,3,8,0,0,1,,,,,
,,Oceanside,1,1,0,0,0,0,,,,,
,,Ontario,0,1,1,0,0,0,,,,,
,,Orange,1,2,0,0,0,0,,,,,
,,Oxnard,7,0,0,0,0,0,,,,,
,,Palmdale,2,0,0,0,0,0,,,,,
,,Palm Desert,0,1,0,0,0,0,,,,,
,,Palm Springs,0,0,3,0,0,0,,,,,
,,Palo Alto,3,0,0,0,0,0,,,,,
,,Paramount,2,0,0,0,0,0,,,,,
,,Pasadena,0,0,2,0,0,0,,,,,
,,Placentia,1,0,0,1,0,0,,,,,
,,Pleasant Hill,1,0,0,0,0,0,,,,,
,,Port Hueneme,1,0,0,0,0,0,,,,,
,,Rancho Cucamonga,4,0,0,0,0,0,,,,,
,,Rancho Palos Verdes,1,1,0,0,0,0,,,,,
,,Redding,6,3,2,0,0,0,,,,,
,,Redlands,2,0,0,0,0,0,,,,,
,,Redondo Beach,1,0,0,0,0,0,,,,,
,,Rialto,1,0,0,0,0,0,,,,,
,,Richmond,1,0,0,0,0,0,,,,,
,,Riverside,3,4,0,0,0,0,,,,,
,,Roseville,1,1,0,0,0,0,,,,,
,,Sacramento,3,0,4,0,0,1,,,,,
,,Salinas,1,0,1,0,0,1,,,,,
,,San Bernardino,3,0,1,0,0,0,,,,,
,,San Diego,14,7,12,0,0,3,,,,,
,,San Dimas,1,0,0,0,0,0,,,,,
,,San Francisco,10,6,9,0,0,3,,,,,
,,San Jacinto,1,0,0,0,0,0,,,,,
,,San Jose,3,2,1,0,0,0,,,,,
,,San Juan Capistrano,0,1,0,0,0,0,,,,,
,,San Leandro,2,1,0,0,0,0,,,,,
,,San Marino,1,0,0,0,0,0,,,,,
,,San Mateo,0,1,1,0,0,0,,,,,
,,Santa Ana,2,5,2,0,0,1,,,,,
,,Santa Barbara,0,0,1,0,0,0,,,,,
,,Santa Clarita,2,1,1,0,0,0,,,,,
,,Santa Cruz,4,1,0,0,0,1,,,,,
,,Santa Monica,0,0,1,0,0,1,,,,,
,,Santa Rosa,1,0,1,0,0,0,,,,,
,,Santee,0,0,1,0,0,0,,,,,
,,Scotts Valley,1,0,0,0,0,0,,,,,
,,Seaside,1,0,0,0,0,0,,,,,
,,Selma,0,1,0,0,0,0,,,,,
,,Simi Valley,4,1,0,0,0,0,,,,,
,,Sonoma,1,1,0,0,0,0,,,,,
,,Sonora,0,0,1,0,0,0,,,,,
,,South Gate,0,2,0,0,0,0,,,,,
,,Stockton,1,1,1,0,0,1,,,,,
,,Temecula,1,0,0,0,0,0,,,,,
,,Thousand Oaks,0,2,0,0,0,0,,,,,
,,Torrance,0,1,0,0,0,0,,,,,
,,Tracy,2,1,0,0,0,0,,,,,
,,Turlock,3,2,1,0,0,0,,,,,
,,Upland,1,0,0,0,0,0,,,,,
,,Ventura,2,0,2,0,0,0,,,,,
,,Victorville,0,0,1,0,0,1,,,,,
,,Visalia,2,0,1,0,0,0,,,,,
,,Vista,2,0,1,0,0,0,,,,,
,,Walnut Creek,1,2,1,0,0,0,,,,,
,,West Covina,2,0,0,0,0,0,,,,,
,,West Hollywood,3,0,3,0,0,0,,,,,
