state,total,place,race,religion,sexual_orientation,disability,gender,gender_identity
Alabama,Total,,12,1,1,0,0,0
,Cities,,12,1,1,0,0,0
,,Birmingham,7,1,1,0,0,0
,,Florence,1,0,0,0,0,0
,,Foley,1,0,0,0,0,0
,,Hoover,3,0,0,0,0,0
Alaska,Total,,11,0,0,0,0,0
,Cities,,11,0,0,0,0,0
,,Anchorage,4,0,0,0,0,0
,,Juneau,6,0,0,0,0,0
,,Wasilla,1,0,0,0,0,0
Arizona,Total, ,110,50,53,1,0,0
,Cities,,105,48,53,1,0,0
,,Apache Junction,2,0,0,0,0,0
,,Chandler,2,2,0,0,0,0
,,Gilbert,1,0,0,0,0,0
,,Glendale,1,0,0,0,0,0
,,Mesa,3,0,2,0,0,0
,,Phoenix2,90,40,44,1,0,0
,,Prescott Valley,1,0,1,0,0,0
,,Sahuarita,1,0,0,0,0,0
,,Scottsdale,1,3,0,0,0,0
,,St. Johns,0,0,1,0,0,0
,,Tempe,0,0,1,0,0,0
,,Tucson,1,2,2,0,0,0
,,Williams,0,0,1,0,0,0
,,Yuma,2,1,1,0,0,0
,Universities and Colleges,,1,2,0,0,0,0
,,"Arizona State University, Main Campus",1,0,0,0,0,0
,,University of Arizona,0,2,0,0,0,0
,Metropolitan Counties,,4,0,0,0,0,0
,,Maricopa,3,0,0,0,0,0
,,Pima,1,0,0,0,0,0
Arkansas,Total,,10,1,0,0,0,1
,Cities,,5,1,0,0,0,1
,,Fort Smith,3,1,0,0,0,0
,,Jacksonville,2,0,0,0,0,0
,,Little Rock,0,0,0,0,0,1
,Metropolitan Counties,,3,0,0,0,0,0
,,Sebastian,3,0,0,0,0,0
,Nonmetropolitan Counties,,2,0,0,0,0,0
,,Sevier,2,0,0,0,0,0
California,Total,,522,171,208,2,3,27
,Cities,,421,150,173,2,3,23
,,Adelanto,1,0,1,0,0,0
,,Alameda,3,0,0,0,0,0
,,Alhambra,1,0,0,0,0,0
,,Anaheim,1,0,0,0,0,0
,,Antioch,2,0,0,0,0,0
,,Arcata,2,0,0,0,0,0
,,Azusa,2,0,0,0,0,0
,,Bakersfield,8,0,0,0,0,0
,,Baldwin Park,0,0,1,0,0,0
,,Bellflower,0,0,1,0,0,0
,,Berkeley,9,2,2,0,0,0
,,Beverly Hills,1,0,0,0,0,0
,,Brea,0,0,1,0,0,0
,,Buena Park,2,1,0,0,0,0
,,Burbank,1,0,0,0,0,0
,,Calabasas,3,0,0,0,0,0
,,Camarillo,1,0,0,0,0,0
,,Campbell,0,1,0,0,0,0
,,Capitola,1,0,0,0,0,0
,,Central Marin,2,0,0,0,0,0
,,Cerritos,0,0,1,0,0,0
,,Chico,3,0,0,0,0,0
,,Chino,2,0,1,0,0,0
,,Chino Hills,1,0,0,0,0,0
,,Chula Vista,1,2,2,0,0,0
,,Citrus Heights,1,0,1,0,0,0
,,Claremont,7,1,1,0,0,0
,,Clayton,0,0,2,0,0,0
,,Clearlake,1,0,0,0,0,0
,,Clovis,1,0,0,0,0,0
,,Coalinga,0,0,1,0,0,0
,,Compton,0,0,0,0,0,1
,,Concord,1,0,2,0,0,0
,,Culver City,0,0,1,0,0,0
,,Cupertino,2,1,0,0,0,0
,,Danville,0,1,0,0,0,0
,,Davis,5,1,1,0,0,1
,,Desert Hot Springs,0,0,1,0,0,0
,,Downey,1,0,0,0,0,0
,,East Palo Alto,0,0,1,0,0,0
,,Eastvale,0,1,0,0,0,0
,,Elk Grove,1,0,0,0,0,0
,,El Segundo,2,0,0,0,0,0
,,Encinitas,1,0,0,0,0,0
,,Escondido,1,0,0,0,0,0
,,Fairfield,1,1,1,0,0,0
,,Farmersville,0,1,0,0,0,0
,,Folsom,0,1,0,0,0,0
,,Fort Bragg,1,1,1,0,0,0
,,Fremont,1,0,0,0,0,0
,,Fresno,7,3,3,0,0,0
,,Fullerton,1,0,1,0,0,0
,,Garden Grove,1,1,0,0,0,0
,,Glendale,1,1,0,0,0,0
,,Hanford,0,1,0,0,0,0
,,Hawaiian Gardens,0,0,0,0,0,1
,,Hawthorne,0,1,0,0,0,0
,,Hayward,1,1,0,0,0,0
,,Highland,1,0,0,0,0,0
,,Hollister,0,0,1,0,0,0
,,Huntington Beach,3,3,0,0,0,0
,,Huntington Park,0,0,1,0,0,0
,,Irvine,2,0,0,0,0,0
,,Jurupa Valley,1,0,0,0,0,0
,,Kingsburg,1,0,0,0,0,0
,,Laguna Beach,1,0,0,0,0,0
,,La Habra,1,0,0,0,0,0
,,Lake Elsinore,1,0,1,0,0,0
,,Lakewood,3,0,1,0,0,0
,,La Mesa,2,1,0,0,0,0
,,La Mirada,0,2,0,0,0,0
,,Lancaster,5,0,2,0,0,1
,,La Puente,0,0,1,0,0,0
,,Loma Linda,1,0,0,0,0,0
,,Long Beach,2,2,3,0,0,1
,,Los Angeles,112,43,58,0,1,13
,,Malibu,2,0,0,0,0,0
,,Mammoth Lakes,1,0,0,0,0,0
,,Manteca,5,0,0,0,0,0
,,Merced,0,0,1,0,0,1
,,Modesto,6,4,1,0,0,0
,,Montclair,1,1,0,0,0,0
,,Monterey,1,0,0,0,0,0
,,Mountain View,0,1,0,0,0,0
,,Murrieta,0,0,0,0,1,0
,,Napa,0,0,1,0,0,0
,,National City,1,0,0,0,0,0
,,Newark,1,0,0,0,0,0
,,Norco,2,0,0,0,0,0
,,Norwalk,1,0,0,0,0,0
,,Novato,1,1,0,0,0,0
,,Oakland,3,3,3,0,0,0
,,Oceanside,2,2,3,0,0,0
,,Orange,1,0,0,0,0,0
,,Oxnard,4,1,1,0,0,0
,,Pacific Grove,1,0,0,0,0,0
,,Palmdale,6,2,0,0,0,0
,,Palm Springs,3,0,0,0,0,0
,,Palo Alto,3,1,0,0,0,0
,,Paradise,1,0,0,0,0,0
,,Parlier,0,0,1,0,0,0
,,Pasadena,1,1,0,0,0,0
,,Perris,0,1,0,0,0,0
,,Petaluma,1,0,0,0,0,0
,,Placentia,1,0,0,0,0,0
,,Pomona,2,1,2,0,0,0
,,Poway,0,0,1,0,0,0
,,Rancho Cucamonga,4,0,0,0,0,0
,,Rancho Palos Verdes,1,0,0,0,0,0
,,Redding,7,1,2,0,0,0
,,Redlands,4,0,2,0,0,0
,,Redwood City,2,0,2,0,0,0
,,Rialto,1,0,0,0,0,0
,,Richmond,4,0,0,0,0,0
,,Ridgecrest,1,0,0,0,0,0
,,Riverside,5,1,2,0,0,0
,,Roseville,7,4,0,0,0,0
